Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
"Master KES, DOC & PDF",9780300095241,How Democratic is the American Constitution?,Dahl,2nd,2003,Yale University Press
DOC done; Master LGP (DOC),9780312066659,"Gulliver's travels: complete, authoritative text with biographical and historical context","Swift, Jonathan",,1995,Bedford/St. Martin's
DOC & RTF done,9780312083502,The World turned upside down: Indian voices from early America,Calloway,1st,1994,Bedford Books of St. Martin's
DOC done,9780312263805,Prison Writings: My Life is My Sun Dance,"Peltier, Leonard",1,2006,St. Martin's Griffin
Course DNE,9780312406882,"The American Promise: A History of the United States, Volume I: To 1877",Roark,3rd,2004,Bedford St. Martin's
Only Ch 24 & FM are there (PDF),9780312417611,"Making of the West, The	The making of the west: peoples and cultures. Since 1500","Hunt, Martin",2nd,,Bedford/St. Martin's
Master DOC,9780312424671,Small Island,Andrea Levy,1st,2005,Picador
Master DOC,9780374292881,The World is Flat: a Brief History of the Twenty-First Century,"Friedman, Thomas L.",,2005,FarrarStraus and Giroux
DOC done,9780312425289,Graceland,Chris Abani,1st,2005,Picador
Course DNE,9780312434458,"The Compact Bedford Introduction to Literature: Reading, Thinking, Writing","Meyer, Michael",7th,2006,Bedford St. Martin
DOC done,9780312445744,"Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama","Charters, Ann",4th,2006,Bedford/St. Martin's
Master DOC,9780312447038,Rereading America: Cultural Contexts for Critical Thinking and Writing,Colombo & Cullen,7th,2007,Bedford/St. Martins
KES & PDF done,9780312535032,A pocket guide to writing in history,"Rampolla, Mary Lynn",6th,2009,Bedford/St. Martin's
PDF done,9780314052735,Physics: the nature of things,LEA & BURKE,1st,1996,Brooks Cole
PDF done,9780314207319,Student Solutions Manual to Accompany Lea/Burke's Physics: The Nature of Things,"Lea, Burke, Salzman, Kelly",,1997,West
DOC done,9780314252074,Jurisprudence: classical and contemporary : from natural law to postmodernism,"Levit,  Nancy",2nd,2002,West Group Publishing
Master DOC,9780316779494,Naked,"Sedaris, David",paper,1997,Hachette DigitalInc.
DOC done(FM corrupted),9780316831123,A different mirror: a history of multicultural America,Ronald T. Takaki,,1993,Little
DOC done,9780321011473,Influence: Science and Practice,"Cialdini, Robert B.",4th,,Allyn & Bacon
Master TIF,9780321186492,Final Cut Pro 4,Weynand,,2004,Nacscorp
"MP3 done; Master PDF, PDF",9780321485519,Macroeconomics,Gordon,10,2005,Addison Wesley
Master DOC,9780321317414,Conversations: readings for writing,Jack Selzer,6th,2006,Pearson
Only Ch 8 missing (DOC); no FM,9780321317957,The basics of American politics,Gary Wasserman,12th,2005,Longman
Master PDF,9780321334336,"Mathematics with applications: in the management, natural, and social sciences",Lial & Hungerford,9th,2007,Addison-Wesley
A lot of chapters missing (DOC),9780323016100,Medical-surgical nursing: assessment and management of clinical problems,Lewis & Heitkemper & Dirksen,6th,2004,Mosby
"PDF, KES no FM",9780323033664,"MATERNITY NURSING, SEVENTH EDITION",Deitra Leonard Lowdermilk,7th,2006,Mosby
Master PDF,9780321278807,Macroeconomics,Hall,3rd,2004,South-Western College
Master PDF,9780324260403,Active Learning Guide for Hall/lieberman's Macroeconomics: Principles And Applications,Hall & Lieberman,3rd,2005,Thomson South Western
DOC done,9780324275285,Strategic management: competitiveness and globalization,Hitt,6th,2004,Thomson
Master PDF,9781408019023,"Strategy--process, content, context: an international perspective",Bob de Wit,3rd,2004,South-Western College Pub
DOC done,9780324288933,Managerial Economics,HIRSCHEY,,2005,South-Western College Pub
Master DOC,9780324318265,"Study Guide for Nelson/quick's Organizational Behavior: Foundations, Reality And Challenges",Nelson & Quick,,2006,Thomson
Master DOC,9780324319835,Fundamentals of Financial Management,"Eugene F. Brigham, Joel F. Houston",5th,2006,South-Western College
Master PDF,9780324321050,Sales Management: Analysis and Decision Making,"Ingram, Thomas N.",6th,2005,South-Western College Pub/Thompson
course folder missing,9780324407846,MACROECONOMICS: PRIN and PRAC+APPLIA (PKG),Baumol,10,2006,Thomson
"Master PDF, some DOC",9780324568608,Essentials of Statistics for Business and Economic,"Anderson, Sweeney, and Williams",5th,2008,South-Western College Pub
DOC done,9780325003436,Literacy from Day One,"Dragan, Pat Barrett",,2001,Heinemann
DOC done,9780325009292,An Observation Survey of Early Literacy Achievement,"Clay, Marie M.",2nd,2006,Heinemann
DOC without EM and FM,9780340691632,The Jews in the modern world: a history since 1750,Rubinstein,2002,,Oxford University Press
DOC done,9780312267179,Catfish and Mandala: a two-wheeled voyage through the landscape and memory of Vietnam,"Pham, Andrew X.",,,
"DOC, RTF, TXT and MP3 done",9780374525644,Spirit Catches You and You Fall down,Fadiman,1,1997,"Farrar, Strauss & Giroux"
DOC done,9780375422850,Good Muslim Bad Muslim,Mamdani,,,Random
DOC done,9780375700125,As She Climbed Across the Table,Jonathan Lethem,First,1998,Vintage
Book not listed in the course folder,9780375724893,Tokyo Underworld,Robert Whiting,2,2000,First Vintage Books
"Master PDF & TXT, DOC done",9780375725807,Underground,Haruki Murakami,1,2000,"Vintage Books (Random House, Inc.)"
DOC & TXT done,9780345485922,What Should I Do With My Life,Bronson,1,2003,Random
Book not listed in the course folder,9780380976140,Tales from the Couch: Writers on Therapy,Shinder,,,
DOC done,9780385334587,Giovannis Room,Baldwin,,2000,Delta
course folder missing,9780385498807,Bee Season,Myla Goldberg,1,2001,Anchor Books
DOC done,9780385721332,Home and Exile,Achebe,1st,2001,Anchor Books
DOC done,9780393973518,The Search for Modern China,"Spence, Jonathan D.",2nd,1999,W. W. Norton & Company
DOC done,9780393309119,Art of the Psychotherapist,James F. T. Bugental,Reprint,1992,W. W. Norton & Company
DOC done,9780393317725,Life Cycle Completed,Eriksen,,1998,W.W. Norton and Company
DOC done,9780393317848,Great Wall and the Empty Fortress: China's Search,"Nathan, Andrew",,1997,W. W. Norton & Company
Master DOC,9780393924091,They Say / I Say The Moves That Matter,"Graff, Gerald & Birkenstein, Cathy",1st,2006,WW Norton
DOC done,9780393925173,Essential Readings in Comparative Politics,"Rogowski, Ronald",Paperback,2004,W. W. Norton & Company
course folder missing,9780393925319,Norton Anthology of English Lit Middle English,Greenblatt,8,2005,NORTON
DOC & PDF done,9780393977707,Introduction to Sociology,"Giddens, Duneier, Appelbaum",5th,2005,W.W. Norton
Book not listed in the course folder,9780393927047,The Supreme Court in American Politics,O'Brien,7th Rev,2005,W.W. Norton & Company
"PDF done, DOC missing FM & EM",9780393928761,Essentials of Comparative Politics,o'Neil,7th,2007,Norton
DOC done,9780393964493,Judicious Choices: The New Politics of the Supreme,Silverstein,New Ed,1995,W.W. Norton & Company
DOC done,9780393970142,Oroonoko: An Authoritative Text,"Aphra Behn, Joanna Lipking",New Ed,1997,W. W. Norton & Company
"DOC, PDF",9780393974294,The Norton Anthology of Theory and Criticism,Vincent B. Leitch,,,W.W. Norton and Company
no record,9780393975659,The Norton Anthology of English Literature,GREENBLATT,8,2006,W. W. Norton & Company
Book not listed in the course folder,9780393976540,Essentials in Comparative Politics,Patrick O'Neil,Paper,2003,W.W. Norton & Co.
"PDF & TXt done, unedited DOC done",9780393978728,"Give Me Liberty! An American History, Volume 1",Foner,,2005,Norton
Book not listed in the course folder,9780393979176,Madame Bovary,,,,
"DOC done, PDF",9780394751221,The Use of Pleasure - history of sexuality vol 2,"Foucault, Michel",Paper,1990,Vintage Books
DOC done,9780395500750,The Chrysanthemum and the Sword,Ruth Benedict,1,1974,Houghton Mifflin Company
DOC done,9780395825259,The Lost Art of Healing,Lown,,1996,Houghton Mifflin Company
DOC done,9780413712400,Shopping and Fucking,Mark Ravenhill,,1996,Methuen Publishing Ltd
"Master RTF and TXT, incomplete DOC",9780415258302,Popular Theatre: A Sourcebook (World of performanc,"Schechter, Joel",1,2002,Routledge
DOC done,9780415345651,The Post-Colonial Studies Reader,Bill Ashcroft,2nd,2006,Routledge
DOC done,9780415389556,Gender Trouble,"Butler, Judith",1,2006,Routledge
DOC done,9780415901864,Femininity and Domination,Sandra Lee Bartky,Paper,1990,Routledge
DOC done,9780415904568,Sound Theory: Sound Practice,Rick Altman,,1992,Routledge
"RTF done, DOC missing FM & EM",9780415926348,Readings for Diversity and Social Justice:,Maurianne Adams,1st,2000,Falmer Press
Book not listed in the course folder,9780415969192,That's the Joint!: A Hip-Hop Studeies Reader,"Forman, Murray and M.A. Neal",,2004,Routledge Press
"PDF and TXT done, DOC missing FM&EM",9780226823379,Guided Reading: Good First Teaching for,"Fountas, Irene C.",Paper,1996,Heinemann
DOC and HTML done,9780435900663,Season of Migration to the North,Tayeb Salih,New,1970,Heinemann
DOC done,9780435905408,Beautiful Ones are Not Yet Born,Ayi Kwei Armah,,,Heinemann
DOC done,9780446671774,From Age-ing to Sage-ing,Zalman Schachter-Shalomi,Paper,1997,Warner Books
DOC done,9780446677455,"Rich Dad, Poor Dad",Kiyosaki,,1998,Little Brown
"DOC done, PDF missing FM",9780451523488,Day of the Locust,Nathaneal West,,1983,Signet Classics
DOC done,9780451529947,Narrative of the Life of Frederick Douglass,Douglass,,,New American Library
DOC done,9780452282315,Art of Nonfiction,Any Rand,paper,2001,Plume - Penguin Group
DOC & TIF done,9780465017102,We Won't Budge,"Diawara, Manthia",Paper,2003,Basic Civitas - Perseus Books Group
Book not listed in the course folder,9780465021185,Every Day Gets a Little Closer,Yalom and Elkin,,,
DOC done,9780465077144,Sexing the Body,"Fausto-Sterling, Anne",,2000,Basic Books
DOC,9780465083619,WHY ARE ALL THE BLACK KIDS ETC,Beverly Daniel Tatum,paper,2003,Basic Books
DOC done,9780465097081,Three Essays on the Theory of Sexuality,Sigmund Freud,,,Basic Book
Master DOC,9780471271130,Complete Adult Psychotherapy Treatment Planner,Jongsma,3rd,2003,Wiley
Master DOC & PDF,9780471419808,Counseling the Culturally Diverse,Sue,4th,2003,John Wiley & Sons
course folder missing,9780471694663,Operating System Concepts,"Silberschatz, Abraham",7th,2004,John Wiley & Sons
course folder missing,9780471699392,Principles of Genetics,Snustad & Simmons,4th,2005,Wiley
course folder missing,9780471752523,Introducing Physical Geography,Strahler,4th,2006,Wiley
DOC & PDF done,9780472111039,Bad Boys: Public Schools in the Making of,"Ferguson, Ann Arnett",,2001,University of Michigan Press
DOC done,9780486450490,THEBAN PLAYS,Sophocles,Thirft,2006,Dover Publications
course folder missing,9780495004721,Theater: A Way of Seeing,Barranger,6th,2006,Thomson
"Master PDF, unedited DOC",9780495006985,The Elements of Reasoning,Ronald Munson,5,2007,Wadsworth Publishing
"Incomplete DOC, EM missing",9780534515652,Interpersonal Process in Therapy and Workbook,Teyber,,,Thomson
Master DOC,9780495060352,Groups: Process And Practice,Marianne Schneider Corey,Paper,2005,Wadsworth
Course DNE,9780495189565,Classics of Public Administration,"Shafritz, Jay M.",6th,2008,Wadsworth Publishing
Book already there,9780495501978,Principles and Applications of Assessment in Couns,"Whiston, Susan C.",3rd,2008,Brooks Cole
Master PDF,9780495603115,Biological Psychology,"Kalat, J.",,2009,Wadsworth
Master DOC,9780500203545,"Women, Art and Society","CHADWICK, Whitney",3rd,2002,Thames & Hudson (Norton?)
Master DOC,9780500284285,Reading Buddhist Art,McArthur,,2002,Thames and Hudson
Master DOC,9780520207653,Immigrant America,,,,
Master KES & PDF,9780520243873,Paradise Lost: California's Experience,"Schrag, Peter",1st,1999,University of California Press
DOC done,9780520243293,Talk About Sex - Battles over Sex Ed in the US,"Irvine, Janice M.",1st Paper,2002,University of California Press
DOC done,9780520245822,Straight to Jesus,Erzen,Paper,2006,University of California Press
DOC done,9780520246157,Sexual Inequalities and Social Justice,Tenuis and Herdt,paper,2007,University of California Press
Course DNE,9780521016308,Indelible Shadows,Annette Insdorf,3rd,2003,Cambridge University Press
DOC done,9780521021685,Platonism and the English Imagination,"Baldwin, Anna",New Ed,2005,Cambridge University Press
DOC done,9780521357302,Two Treatises of Government,John Locke,3rd,1988,"Cambridge Texts, History of Political thought"
Master DOC,9780521379175,On Liberty,John Stuart Mill,13th,2006,Cambridge University Press
Master DOC,9780521531832,International Law,Malcolm N. Shaw,5,2003,Cambridge University Press
PDF done,9780521654883,Perils of a Restless Planet,Zebrowski,,1999,Cambridge
DOC done,9780521857376,American Era: Power and Strategy for 21st Century,"Lieber, Robert",1st,2007,Cambridge University Press
Book DNE,9780521840613,Leviathans: Multinational Corporations and the New,"Chandler, Alfred D.",,2005,Cambridge University Press
DOC done,9780534342852,Psychology and the Law,Swenson,2nd,1997,Brooks-Cole/Thomson
